Ticket_ID,Category,Resolution_Time_Hours
TKT-0001,Billing,26.44
TKT-0002,Billing,7.0
TKT-0003,General Inquiry,3.38
TKT-0004,Technical,23.79
TKT-0005,Technical,45.92
TKT-0006,Account Access,2.73
TKT-0007,Account Access,12.48
TKT-0008,Billing,24.6
TKT-0009,Technical,15.02
TKT-0010,General Inquiry,12.79
TKT-0011,Billing,7.79
TKT-0012,Product Issue,71.53
TKT-0013,Billing,12.58
TKT-0014,Technical,41.3
TKT-0015,Technical,26.45
TKT-0016,Product Issue,30.84
TKT-0017,Billing,10.93
TKT-0018,Billing,12.585
TKT-0019,Product Issue,24.07
TKT-0020,Billing,8.39
TKT-0021,Technical,32.06
TKT-0022,Product Issue,20.5
TKT-0023,Technical,28.94
TKT-0024,Product Issue,32.13
TKT-0025,Account Access,12.93
TKT-0026,Billing,10.99
TKT-0027,Account Access,5.95
TKT-0028,Technical,6.02
TKT-0029,Technical,23.51
TKT-0030,General Inquiry,8.4
TKT-0031,Account Access,3.46
TKT-0032,Technical,32.13
TKT-0033,Account Access,5.4
TKT-0034,Billing,17.78
TKT-0035,Product Issue,15.48
TKT-0036,Technical,41.2
TKT-0037,General Inquiry,1.48
TKT-0038,Technical,24.57
TKT-0039,Billing,4.04
TKT-0040,Account Access,11.17
TKT-0041,General Inquiry,12.33
TKT-0042,Account Access,4.21
TKT-0043,Billing,11.64
TKT-0044,Product Issue,47.77
TKT-0045,Billing,9.96
TKT-0046,Billing,9.58
TKT-0047,Technical,22.82
TKT-0048,Billing,6.18
TKT-0049,Technical,9.77
TKT-0050,General Inquiry,7.73
TKT-0052,Technical,25.79
TKT-0053,Billing,7.8
TKT-0054,Billing,13.37
TKT-0055,Technical,39.78
TKT-0056,Billing,10.82
TKT-0057,Account Access,3.57
TKT-0058,Account Access,12.95
TKT-0059,Billing,12.585
TKT-0060,Billing,12.7
TKT-0061,Technical,42.75
TKT-0062,Technical,54.29
TKT-0063,Product Issue,9.89
TKT-0064,Technical,43.74
TKT-0065,General Inquiry,10.53
